Date,Open,High,Low,Close,Volume,Status,Height,Middle
2016-03-01,703.62,718.81,699.77,718.81,2147442,Increase,15.18999999999994,711.2149999999999
2016-03-02,719.0,720.0,712.0,718.85,1627753,Decrease,0.14999999999997726,718.925
2016-03-03,718.68,719.45,706.02,712.42,1956761,Decrease,6.259999999999991,715.55
2016-03-04,714.99,716.49,706.02,710.89,1967873,Decrease,4.100000000000023,712.94
2016-03-07,706.9,708.09,686.9,695.16,2985094,Decrease,11.740000000000009,701.03
2016-03-08,688.59,703.79,685.34,693.97,2063357,Increase,5.3799999999999955,691.28
2016-03-09,698.47,705.68,694.0,705.24,1418704,Increase,6.769999999999982,701.855
2016-03-10,708.12,716.44,703.36,712.82,2829412,Increase,4.7000000000000455,710.47
2016-03-11,720.0,726.92,717.12,726.82,1963907,Increase,6.82000000000005,723.4100000000001
2016-03-14,726.81,735.5,725.15,730.49,1716910,Increase,3.6800000000000637,728.65
2016-03-15,726.92,732.29,724.77,728.33,1720965,Increase,1.4100000000000819,727.625
2016-03-16,726.37,737.47,724.51,736.09,1572329,Increase,9.720000000000027,731.23
2016-03-17,736.45,743.07,736.0,737.78,1856800,Increase,1.3299999999999272,737.115
2016-03-18,741.86,742.0,731.83,737.6,2796376,Decrease,4.259999999999991,739.73
