,Entry,Exit
0,2017-10-27 19:07:18.207260,2017-10-27 19:07:21.998198
1,2017-10-27 19:07:22.620786,2017-10-27 19:07:23.267686
2,2017-10-27 19:07:23.473613,2017-10-27 19:07:25.276841
3,2017-10-27 19:07:25.411384,2017-10-27 19:07:42.155725
4,2017-10-27 19:07:42.291750,2017-10-27 19:07:42.401455
5,2017-10-27 19:07:42.805877,2017-10-27 19:07:42.917270
6,2017-10-27 19:07:43.017650,2017-10-27 19:07:43.150160
7,2017-10-27 19:07:43.390450,2017-10-27 19:07:43.501674
8,2017-10-27 19:07:43.737408,2017-10-27 19:07:43.870688
9,2017-10-27 19:07:44.124466,2017-10-27 19:07:44.254325
10,2017-10-27 19:07:44.659498,2017-10-27 19:07:44.773828
11,2017-10-27 19:07:45.047186,2017-10-27 19:07:45.159668
12,2017-10-27 19:07:45.397046,2017-10-27 19:07:45.531086
13,2017-10-27 19:07:45.641601,2017-10-27 19:07:45.909420
14,2017-10-27 19:07:46.329165,2017-10-27 19:07:46.838203
15,2017-10-27 19:07:47.079454,2017-10-27 19:07:47.174692
16,2017-10-27 19:07:47.291590,2017-10-27 19:07:51.348819
17,2017-10-27 19:07:51.463358,2017-10-27 19:08:05.337007
